CCA,crime_number
0.0,93
1.0,99563
2.0,81366
3.0,94562
4.0,45554
5.0,38702
6.0,129512
7.0,101897
8.0,225766
9.0,6296
10.0,27619
11.0,25651
12.0,11672
13.0,21651
14.0,57943
15.0,82302
16.0,73571
17.0,39647
18.0,15308
19.0,119475
20.0,39173
21.0,60843
22.0,136535
23.0,205039
24.0,191242
25.0,411375
26.0,122363
27.0,122904
28.0,193048
29.0,189087
30.0,109536
31.0,63151
32.0,158369
33.0,49249
34.0,24180
35.0,72314
36.0,14379
37.0,21907
38.0,89765
39.0,36835
40.0,69414
41.0,40557
42.0,105506
43.0,212422
44.0,140781
45.0,33203
46.0,120221
47.0,9711
48.0,35133
49.0,173073
50.0,26153
51.0,42312
52.0,32142
53.0,106420
54.0,28841
55.0,14052
56.0,53808
57.0,23305
58.0,63244
59.0,26736
60.0,41509
61.0,133205
62.0,25124
63.0,59753
64.0,25561
65.0,48400
66.0,160082
67.0,189712
68.0,172354
69.0,160397
70.0,59157
71.0,184195
72.0,23430
73.0,76946
74.0,14491
75.0,51826
76.0,38806
77.0,63877
